CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
70;102697;231716;20090;45.2;13.4;20.4;15.8;15.6;13.3;9.1;9.5;7.7;28.3;67.3;59.3;3;5;33;7.5;5.8;2.4;2.1;1.3;-13.6;11670;32280;2.8
71;245181;534480;20230;47.7;12.9;20.1;16.1;15.3;13.1;8.4;9.1;6.9;26;65.6;56.6;2.9;6.1;35.3;8.5;5.5;2.2;2;1.3;-14.9;11780;33670;2.9
72;241647;550417;20490;48.1;13;21.7;15.9;15.7;12.9;7.5;6.8;5.6;29.8;68.5;61.2;2.8;4.5;32.5;8;5.7;2.5;1.8;1.4;-14.7;11700;33030;2.8
73;188329;423454;22460;57.2;9.8;15.7;11.4;11.6;9.8;6.4;6.5;5;19.6;72.4;62.8;3.1;6.5;28.7;11.5;4;1.9;1.2;0.9;-16.6;12730;38150;3
74;338851;787539;25700;57.6;9.1;12.4;10;9.9;8.8;7.3;6.6;5;17.2;83.1;75.3;3.2;4.6;20.8;10.1;2.5;1.2;0.7;0.6;-16.5;13080;54550;4.2
75;1028942;2062520;27400;69;15.2;16.5;12.1;16.4;18.7;15.1;9.6;5.5;20.3;88.2;76.4;3;8.8;19.9;17;2.8;0.8;1.2;0.8;-27.9;10510;65790;6.3
76;530864;1204073;20620;49.9;14.5;24.4;17.3;17.2;13.9;8.9;7.3;5;28.2;71.3;63.2;3.2;4.9;30.1;7.4;6.6;2.4;2.5;1.7;-15.4;11270;35260;3.1
77;538456;1389343;22820;61.8;11.6;17.1;13.7;13.1;10.8;7.9;6.3;5;24.5;82.2;75.5;3.1;3.6;23;7.3;5.1;2.5;1.5;1.1;-17.6;12060;38210;3.2
78;568185;1445994;26130;69.8;9.4;15.3;11.3;10.7;8.9;6.7;5;5;19.6;85.3;78.9;2.7;3.7;23.7;9.9;3.4;1.7;0.9;0.8;-22.3;12920;49920;3.9
79;162021;367069;20180;45.5;12.3;20.2;13.7;13.5;12.2;8.1;11.2;7;27.5;69.4;61;2.7;5.7;31.4;8.3;5.6;2.3;2;1.3;-14.7;11940;33280;2.8
80;234053;539418;19720;46.7;16.6;29.1;19.8;19.2;16.7;9.9;9;7.7;32.9;69.7;60.7;3.1;5.9;30.1;8.6;6.9;2.5;2.8;1.6;-15.3;10860;33630;3.1
81;169975;380524;19880;43.4;15.2;25.8;18.2;17.5;15.6;10.2;11.4;8.6;31.3;64.1;54.7;3.2;6.2;34.5;9.9;6;2.2;2.3;1.5;-14.5;11140;33740;3
82;108469;253836;19560;42.9;16.8;24.8;18.7;18.6;16.7;12.3;14;9.8;31.8;67.6;58.1;3.4;6.1;30.8;9.1;6.7;2.6;2.5;1.6;-14.2;10790;32860;3
83;481966;1051536;21050;51.7;15.4;23.3;18.9;18.5;16.3;11.5;8.9;7.6;27.4;63.1;53.1;3.4;6.6;36.7;12.6;5.2;1.8;2.1;1.3;-17.6;10900;37520;3.4
84;242543;560076;19400;45.4;19.5;26.9;23;23.2;19;15.7;11.4;9.1;33.4;66.8;56.6;3.9;6.3;30.8;11.2;7;2.5;2.6;1.9;-15.8;10110;34680;3.4
85;296217;676928;20720;47.9;9.3;12.7;9.5;11;10.3;5.9;8.3;5.6;21.5;66.2;57.8;2.9;5.5;34.4;9.4;4.7;2.3;1.4;1;-14.7;12900;32970;2.6
86;185695;408780;20350;47.2;14;27;15.7;15.3;13.6;8.6;10.5;6.9;30.2;68.6;60.7;2.8;5.1;32;8.8;5.9;2.3;2.1;1.5;-15.3;11380;34060;3
87;166656;349905;20400;47.7;15.1;27.8;18.7;17.3;14.4;9.4;10.7;7.3;32.2;65.6;57.8;2.5;5.3;35.9;8.2;5.9;1.9;2.5;1.5;-15.6;11070;34350;3.1
88;164198;358351;19660;43.8;15.4;26.2;19.3;19;15.6;9.5;8.2;7.9;31.6;65.7;57.5;3.3;4.9;34.1;8.1;6.3;2.3;2.4;1.6;-14.2;11110;32420;2.9
89;148144;327705;20230;49.3;14.4;21.7;17.8;17.7;15.2;9.2;7.3;7.6;30;65;56.5;2.9;5.6;35.3;8.9;5.9;2.3;2.2;1.4;-15.1;11360;33380;2.9
90;59573;133930;21310;52.6;14.2;22.7;17.7;16.7;13.4;8.7;7.5;5.2;28.6;75.1;67.9;3.5;3.7;28.2;7;5.8;2.2;2.1;1.5;-16.1;11400;37200;3.3
91;498336;1275156;23360;64.9;12.7;18.5;15.8;14.9;11.8;7.9;5;5;25.9;83.1;77.2;2.9;3;24;7.5;4.7;2.3;1.3;1.1;-19.3;11660;41150;3.5
92;681568;1579872;27090;70.1;11.8;15.3;11;12.8;12.5;10.9;7.7;5;18.7;91.2;83.2;2.9;5.1;19.3;11.6;3;1.2;1;0.8;-25.1;11920;57840;4.9
93;584142;1582570;17310;47.9;27.9;30.4;29.2;32.4;28.9;22;14.2;12.7;37.8;80.9;73.7;4.4;2.8;19.5;5.6;10;3.8;3.5;2.7;-16;8780;33120;3.8
94;553209;1347902;22290;62.3;16.3;21.3;17.8;19;16.7;12.2;7.9;5.4;25.8;85;77.2;3.2;4.6;21.8;8.6;5.1;2.1;1.7;1.3;-20.5;10560;43530;4.1
95;456272;1238601;21470;59.9;16.6;20.7;18.7;19.5;16.3;11.8;8;7;29.4;83.3;76.4;3.4;3.5;22.1;6.8;5.9;2.8;1.7;1.4;-18.1;10590;38410;3.6
972;149275;336780;17580;34;28.6;46.9;33.6;31.6;28.6;21.7;29.5;20.9;36.7;72.5;63.3;3.9;5.3;23.5;5.4;11.9;2.7;7;2.2;-13.3;8710;36740;4.2
974;316435;871868;15020;28.1;38.3;52.3;41.5;40.2;35.4;30.2;39.1;29.2;47.3;74.5;61.6;5.2;7.7;15.1;6.5;16.5;4.5;8.6;3.4;-12.6;8100;35510;4.4
